VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,2020-01-01 00:50:09,2020-01-01 00:54:56,5.0,0.87,1.0,5.5,0.5,0.5,0.93,0.0,0.3,10.23,2.5
2.0,2020-01-01 00:58:50,2020-01-01 01:05:42,5.0,1.15,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
1.0,2020-01-01 00:56:15,2020-01-01 01:03:01,1.0,0.9,1.0,6.0,3.0,0.5,1.95,0.0,0.3,11.75,2.5
2.0,2020-01-01 00:26:40,2020-01-01 00:43:04,1.0,6.99,2.0,21.0,0.5,0.5,0.0,0.0,0.3,24.8,2.5
2.0,2020-01-01 00:47:55,2020-01-01 01:13:53,1.0,5.9,1.0,23.0,0.5,0.5,2.5,0.0,0.3,29.3,2.5
2.0,2020-01-01 00:11:07,2020-01-01 00:16:54,1.0,0.89,2.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
2.0,2020-01-01 00:20:27,2020-01-01 00:40:05,1.0,1.67,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
2.0,2020-01-01 00:45:36,2020-01-01 00:46:28,1.0,0.01,2.0,2.5,0.5,0.5,0.0,0.0,0.3,6.3,2.5
2.0,2020-01-01 00:12:27,2020-01-01 00:17:33,1.0,0.9,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
2.0,2020-01-01 00:20:55,2020-01-01 00:42:31,1.0,3.18,1.0,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
2.0,2020-01-01 00:56:07,2020-01-01 01:08:07,1.0,1.04,1.0,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5
2.0,2020-01-01 00:36:18,2020-01-01 00:42:48,1.0,0.81,2.0,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0
2.0,2020-01-01 00:49:38,2020-01-01 01:03:36,1.0,3.15,2.0,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
1.0,2020-01-01 00:13:16,2020-01-01 00:18:49,2.0,0.9,1.0,5.5,3.0,0.5,1.85,0.0,0.3,11.15,2.5
1.0,2020-01-01 00:24:41,2020-01-01 00:44:39,2.0,2.8,2.0,14.5,3.0,0.5,0.0,0.0,0.3,18.3,2.5
